Size,Insertion/Deletion Frequency,Search Randomness,Search Prediction,Data Structure
24432,0.509,0.477,442,HASH_MAP
19632,0.818,0.181,57,HASH_MAP
3456,0.576,0.027,35,SINGLY_LINKED_LIST
768,0.64,0.413,5,SINGLY_LINKED_LIST
5616,0.117,0.445,61,HASH_MAP
38256,0.797,0.279,777,HASH_MAP
22224,0.926,0.082,320,HASH_MAP
336,0.035,0.159,6,TREE_MAP
20016,0.417,0.312,301,HASH_MAP
25488,0.531,0.426,87,HASH_MAP
3792,0.158,0.458,9,SEQUENCE
2352,0.98,0.181,28,SINGLY_LINKED_LIST
48,0.1,0.162,1,SINGLY_LINKED_LIST
384,0.32,0.11,6,SINGLY_LINKED_LIST
3024,0.126,0.05,44,TREE_MAP
1488,0.248,0.338,18,HASH_MAP
3792,0.395,0.472,8,SEQUENCE
23952,0.499,0.398,108,HASH_MAP
6288,0.131,0.18,126,HASH_MAP
5376,0.896,0.053,58,SINGLY_LINKED_LIST
5904,0.984,0.09,91,SINGLY_LINKED_LIST
2352,0.98,0.059,12,SINGLY_LINKED_LIST
14064,0.586,0.292,92,HASH_MAP
38064,0.793,0.313,44,SINGLY_LINKED_LIST
19056,0.794,0.002,371,HASH_MAP
16368,0.682,0.311,72,HASH_MAP
3408,0.142,0.245,51,TREE_MAP
4848,0.202,0.459,78,HASH_MAP
33456,0.697,0.405,125,HASH_MAP
912,0.38,0.176,17,SINGLY_LINKED_LIST
3168,0.528,0.064,27,SINGLY_LINKED_LIST
44976,0.937,0.2,663,HASH_MAP
29136,0.607,0.118,474,HASH_MAP
3408,0.071,0.362,66,HASH_MAP
44016,0.917,0.408,694,HASH_MAP
12144,0.506,0.248,125,HASH_MAP
19152,0.399,0.196,101,SEQUENCE
2784,0.464,0.158,15,TREE_MAP
9648,0.201,0.04,140,HASH_MAP
12624,0.263,0.461,201,HASH_MAP
35088,0.731,0.117,244,HASH_MAP
27408,0.571,0.469,61,HASH_MAP
10224,0.852,0.44,91,HASH_MAP
29712,0.619,0.222,323,HASH_MAP
14256,0.594,0.451,111,HASH_MAP
2352,0.196,0.239,40,HASH_MAP
432,0.36,0.022,8,SINGLY_LINKED_LIST
2256,0.376,0.081,8,SEQUENCE
3504,0.365,0.231,72,HASH_MAP
18288,0.762,0.306,106,HASH_MAP
19056,0.397,0.413,200,HASH_MAP
4128,0.688,0.39,76,HASH_MAP
912,0.475,0.178,11,SINGLY_LINKED_LIST
47088,0.981,0.447,249,SINGLY_LINKED_LIST
25584,0.533,0.078,70,HASH_MAP
4944,0.206,0.154,90,HASH_MAP
2448,0.51,0.254,43,SEQUENCE
912,0.038,0.102,3,TREE_MAP
39408,0.821,0.334,48,HASH_MAP
144,0.003,0.222,2,HASH_MAP
1584,0.033,0.191,24,SEQUENCE
11664,0.972,0.344,165,HASH_MAP
4848,0.202,0.22,5,HASH_MAP
22416,0.934,0.131,431,HASH_MAP
192,0.8,0.079,1,SEQUENCE
28752,0.599,0.475,185,HASH_MAP
36144,0.753,0.153,38,SINGLY_LINKED_LIST
16368,0.682,0.287,328,HASH_MAP
1968,0.328,0.315,25,SINGLY_LINKED_LIST
23952,0.998,0.409,193,SINGLY_LINKED_LIST
9456,0.788,0.019,157,HASH_MAP
3408,0.71,0.257,36,SEQUENCE
21552,0.449,0.019,351,HASH_MAP
10224,0.426,0.308,188,HASH_MAP
2448,0.255,0.1,49,HASH_MAP
624,0.325,0.433,3,SEQUENCE
19536,0.407,0.251,364,HASH_MAP
11568,0.482,0.319,165,SEQUENCE
624,0.052,0.155,5,SINGLY_LINKED_LIST
35184,0.733,0.105,733,HASH_MAP
38352,0.799,0.125,569,HASH_MAP
7824,0.652,0.217,112,HASH_MAP
576,0.096,0.337,11,SEQUENCE
7248,0.302,0.114,9,HASH_MAP
31728,0.661,0.242,442,HASH_MAP
5904,0.984,0.405,66,SINGLY_LINKED_LIST
14352,0.299,0.415,60,HASH_MAP
45648,0.951,0.39,715,HASH_MAP
42576,0.887,0.382,483,HASH_MAP
528,0.055,0.332,11,HASH_MAP
11184,0.932,0.05,206,HASH_MAP
21744,0.906,0.275,112,HASH_MAP
6864,0.143,0.362,118,HASH_MAP
24816,0.517,0.221,5,SINGLY_LINKED_LIST
3312,0.69,0.366,51,TREE_MAP
6096,0.508,0.321,44,HASH_MAP
20496,0.854,0.203,4,HASH_MAP
432,0.045,0.282,3,TREE_MAP
4656,0.485,0.211,75,HASH_MAP
6672,0.695,0.472,33,HASH_MAP
38832,0.809,0.225,798,HASH_MAP
18768,0.782,0.323,51,HASH_MAP
29136,0.607,0.263,571,HASH_MAP
48,0.025,0.399,1,SINGLY_LINKED_LIST
11856,0.494,0.306,130,HASH_MAP
18576,0.387,0.271,47,HASH_MAP
528,0.088,0.389,10,TREE_MAP
1536,0.256,0.246,18,HASH_MAP
4464,0.093,0.425,53,HASH_MAP
20304,0.423,0.21,226,HASH_MAP
144,0.06,0.001,2,SEQUENCE
1872,0.39,0.121,26,SINGLY_LINKED_LIST
4992,0.832,0.319,72,SEQUENCE
2016,0.336,0.24,5,SINGLY_LINKED_LIST
768,0.128,0.146,14,TREE_MAP
4464,0.744,0.45,65,HASH_MAP
9936,0.414,0.334,200,HASH_MAP
1008,0.084,0.267,15,TREE_MAP
624,0.013,0.279,13,TREE_MAP
25296,0.527,0.469,312,HASH_MAP
48,0.04,0.23,1,SINGLY_LINKED_LIST
6768,0.564,0.082,133,HASH_MAP
11568,0.482,0.305,24,HASH_MAP
16944,0.706,0.474,96,HASH_MAP
4896,0.816,0.031,29,SEQUENCE
22128,0.922,0.287,420,HASH_MAP
7824,0.326,0.472,70,HASH_MAP
144,0.015,0.197,1,TREE_MAP
96,0.4,0.418,2,SINGLY_LINKED_LIST
5904,0.123,0.305,19,SEQUENCE
21552,0.449,0.209,198,HASH_MAP
23472,0.489,0.223,227,HASH_MAP
7056,0.735,0.235,45,SEQUENCE
32688,0.681,0.063,641,HASH_MAP
22224,0.463,0.436,411,HASH_MAP
25104,0.523,0.439,469,HASH_MAP
624,0.52,0.236,2,SINGLY_LINKED_LIST
6384,0.266,0.403,87,HASH_MAP
11664,0.486,0.425,214,HASH_MAP
4944,0.103,0.033,19,HASH_MAP
1728,0.288,0.146,1,SINGLY_LINKED_LIST
1632,0.272,0.173,16,SEQUENCE
4944,0.206,0.376,75,HASH_MAP
12048,0.502,0.176,95,HASH_MAP
39984,0.833,0.278,11,SINGLY_LINKED_LIST
13296,0.554,0.272,23,HASH_MAP
3072,0.512,0.259,47,HASH_MAP
37296,0.777,0.047,284,HASH_MAP
21648,0.902,0.369,150,HASH_MAP
18768,0.782,0.184,37,HASH_MAP
1104,0.184,0.154,13,TREE_MAP
31344,0.653,0.013,579,HASH_MAP
1728,0.288,0.297,18,TREE_MAP
9744,0.812,0.027,122,HASH_MAP
816,0.68,0.327,0,SINGLY_LINKED_LIST
8784,0.366,0.277,14,HASH_MAP
18384,0.766,0.069,33,SINGLY_LINKED_LIST
9072,0.378,0.228,19,HASH_MAP
21744,0.906,0.066,47,HASH_MAP
144,0.015,0.269,3,SINGLY_LINKED_LIST
45168,0.941,0.03,83,SINGLY_LINKED_LIST
3792,0.158,0.106,8,HASH_MAP
10416,0.434,0.091,104,HASH_MAP
20688,0.862,0.082,97,HASH_MAP
9936,0.828,0.185,76,SEQUENCE
21168,0.882,0.319,181,HASH_MAP
336,0.014,0.175,2,HASH_MAP
9168,0.191,0.043,152,HASH_MAP
1968,0.205,0.477,26,HASH_MAP
19152,0.798,0.137,228,HASH_MAP
528,0.22,0.152,2,SEQUENCE
14736,0.614,0.387,125,HASH_MAP
45072,0.939,0.295,321,SINGLY_LINKED_LIST
24624,0.513,0.443,338,HASH_MAP
22608,0.942,0.363,265,HASH_MAP
17136,0.714,0.21,192,HASH_MAP
48,0.04,0.247,0,SINGLY_LINKED_LIST
35376,0.737,0.128,228,HASH_MAP
1968,0.082,0.468,33,HASH_MAP
2544,0.265,0.243,32,HASH_MAP
2928,0.122,0.065,59,SEQUENCE
27408,0.571,0.154,35,HASH_MAP
2928,0.244,0.136,31,HASH_MAP
1008,0.084,0.319,18,HASH_MAP
2448,0.51,0.223,22,HASH_MAP
18192,0.379,0.092,35,HASH_MAP
27216,0.567,0.455,7,SINGLY_LINKED_LIST
816,0.017,0.1,14,HASH_MAP
45936,0.957,0.293,257,SINGLY_LINKED_LIST
4224,0.704,0.007,77,SEQUENCE
3072,0.512,0.076,42,HASH_MAP
624,0.052,0.255,7,SEQUENCE
29424,0.613,0.07,417,HASH_MAP
25584,0.533,0.086,27,HASH_MAP
15408,0.642,0.11,241,HASH_MAP
1392,0.29,0.134,26,TREE_MAP
528,0.44,0.177,8,SINGLY_LINKED_LIST
1776,0.37,0.366,15,SEQUENCE
23184,0.483,0.17,305,HASH_MAP
34896,0.727,0.392,602,HASH_MAP
1776,0.74,0.351,19,SINGLY_LINKED_LIST
38736,0.807,0.371,98,SINGLY_LINKED_LIST
5136,0.856,0.301,72,SEQUENCE
12816,0.534,0.341,134,HASH_MAP
2544,0.53,0.184,44,SINGLY_LINKED_LIST
22896,0.954,0.169,170,SINGLY_LINKED_LIST
336,0.35,0.338,6,SINGLY_LINKED_LIST
18096,0.377,0.15,344,HASH_MAP
7248,0.151,0.103,19,TREE_MAP
16368,0.341,0.366,107,HASH_MAP
22992,0.958,0.171,173,SINGLY_LINKED_LIST
2736,0.114,0.126,1,HASH_MAP
43824,0.913,0.001,705,HASH_MAP
2256,0.47,0.15,9,SEQUENCE
35856,0.747,0.224,719,HASH_MAP
5808,0.121,0.126,27,HASH_MAP
11184,0.233,0.211,73,HASH_MAP
24624,0.513,0.059,51,HASH_MAP
624,0.065,0.461,2,TREE_MAP
7248,0.302,0.363,34,HASH_MAP
10704,0.446,0.131,98,HASH_MAP
41904,0.873,0.021,505,HASH_MAP
42384,0.883,0.034,33,HASH_MAP
2256,0.376,0.291,5,TREE_MAP
14832,0.618,0.358,41,HASH_MAP
7248,0.755,0.072,20,SINGLY_LINKED_LIST
34224,0.713,0.479,173,HASH_MAP
3984,0.332,0.374,18,HASH_MAP
13584,0.283,0.145,3,HASH_MAP
2352,0.049,0.085,23,SEQUENCE
576,0.096,0.307,10,SINGLY_LINKED_LIST
21168,0.882,0.415,163,HASH_MAP
6192,0.645,0.113,7,HASH_MAP
4608,0.768,0.077,7,HASH_MAP
18864,0.393,0.226,312,HASH_MAP
4896,0.816,0.145,64,SINGLY_LINKED_LIST
2928,0.305,0.387,48,SEQUENCE
5904,0.615,0.104,108,HASH_MAP
3408,0.568,0.325,70,SEQUENCE
13584,0.283,0.413,246,HASH_MAP
816,0.425,0.291,17,SINGLY_LINKED_LIST
4848,0.404,0.121,85,HASH_MAP
4368,0.364,0.343,41,SEQUENCE
3792,0.395,0.127,11,HASH_MAP
8784,0.183,0.272,123,HASH_MAP
15312,0.638,0.37,4,SINGLY_LINKED_LIST
45168,0.941,0.112,585,SINGLY_LINKED_LIST
2928,0.488,0.184,8,SEQUENCE
18096,0.377,0.174,328,HASH_MAP
3888,0.162,0.041,17,HASH_MAP
7536,0.157,0.406,83,HASH_MAP
19152,0.399,0.31,52,HASH_MAP
39792,0.829,0.369,748,HASH_MAP
6576,0.274,0.285,12,HASH_MAP
1296,0.54,0.111,27,SEQUENCE
4416,0.736,0.471,65,SINGLY_LINKED_LIST
19056,0.397,0.132,62,HASH_MAP
912,0.76,0.444,17,SINGLY_LINKED_LIST
28656,0.597,0.162,9,HASH_MAP
25872,0.539,0.23,102,HASH_MAP
2352,0.049,0.255,22,HASH_MAP
11952,0.498,0.302,1,SINGLY_LINKED_LIST
4656,0.485,0.092,26,HASH_MAP
10032,0.418,0.007,82,HASH_MAP
10128,0.844,0.181,12,SINGLY_LINKED_LIST
816,0.068,0.022,17,SEQUENCE
1008,0.21,0.444,20,SEQUENCE
1488,0.775,0.213,29,SINGLY_LINKED_LIST
18864,0.786,0.086,75,SINGLY_LINKED_LIST
1008,0.105,0.081,16,HASH_MAP
11472,0.239,0.115,95,HASH_MAP
384,0.064,0.457,8,SEQUENCE
4512,0.752,0.333,13,SINGLY_LINKED_LIST
7824,0.815,0.155,79,SEQUENCE
432,0.36,0.341,9,SEQUENCE
18576,0.387,0.152,246,HASH_MAP
43056,0.897,0.356,457,HASH_MAP
528,0.011,0.416,7,HASH_MAP
624,0.26,0.254,10,SINGLY_LINKED_LIST
28272,0.589,0.08,422,HASH_MAP
7152,0.298,0.437,139,SEQUENCE
912,0.19,0.105,17,SEQUENCE
16464,0.343,0.096,257,HASH_MAP
19632,0.818,0.254,178,HASH_MAP
5712,0.238,0.226,88,HASH_MAP
18864,0.786,0.239,362,HASH_MAP
8112,0.338,0.375,18,HASH_MAP
336,0.28,0.329,1,SINGLY_LINKED_LIST
13584,0.566,0.335,187,HASH_MAP
47664,0.993,0.259,808,HASH_MAP
1632,0.272,0.028,31,SEQUENCE
6288,0.655,0.059,89,HASH_MAP
5904,0.615,0.041,86,HASH_MAP
4848,0.404,0.288,6,HASH_MAP
24432,0.509,0.386,489,HASH_MAP
23376,0.974,0.036,326,HASH_MAP
912,0.076,0.185,7,HASH_MAP
432,0.036,0.416,5,TREE_MAP
48,0.008,0.022,1,SINGLY_LINKED_LIST
336,0.056,0.197,7,SEQUENCE
5136,0.856,0.292,46,HASH_MAP
46224,0.963,0.264,253,HASH_MAP
3648,0.608,0.169,57,SEQUENCE
18768,0.391,0.04,53,HASH_MAP
1632,0.272,0.191,16,TREE_MAP
10992,0.916,0.466,173,HASH_MAP
17424,0.726,0.431,284,HASH_MAP
5952,0.992,0.318,78,SINGLY_LINKED_LIST
30576,0.637,0.212,82,HASH_MAP
9456,0.788,0.399,155,HASH_MAP
37968,0.791,0.403,349,HASH_MAP
36528,0.761,0.07,447,HASH_MAP
6096,0.508,0.2,39,SEQUENCE
25488,0.531,0.191,257,HASH_MAP
25008,0.521,0.198,427,HASH_MAP
15024,0.626,0.372,45,HASH_MAP
2256,0.047,0.218,37,HASH_MAP
2832,0.118,0.006,19,SEQUENCE
624,0.52,0.41,10,SINGLY_LINKED_LIST
45648,0.951,0.426,491,HASH_MAP
20688,0.862,0.322,209,HASH_MAP
3696,0.308,0.093,55,SEQUENCE
912,0.475,0.239,11,SEQUENCE
47088,0.981,0.469,591,SINGLY_LINKED_LIST
528,0.44,0.249,4,SEQUENCE
2832,0.236,0.108,1,HASH_MAP
15024,0.626,0.272,87,HASH_MAP
5808,0.484,0.22,6,SINGLY_LINKED_LIST
14544,0.303,0.016,196,HASH_MAP
13872,0.289,0.042,51,HASH_MAP
9456,0.985,0.087,102,SINGLY_LINKED_LIST
44496,0.927,0.188,273,HASH_MAP
40272,0.839,0.337,560,HASH_MAP
26064,0.543,0.416,152,HASH_MAP
20976,0.437,0.124,286,HASH_MAP
5232,0.218,0.427,91,HASH_MAP
2544,0.212,0.001,46,HASH_MAP
7632,0.318,0.105,71,HASH_MAP
2256,0.376,0.29,16,SEQUENCE
5712,0.119,0.132,11,SEQUENCE
20016,0.834,0.326,34,SINGLY_LINKED_LIST
624,0.013,0.047,6,HASH_MAP
12336,0.257,0.351,6,SINGLY_LINKED_LIST
8592,0.895,0.004,123,SINGLY_LINKED_LIST
14064,0.586,0.048,87,HASH_MAP
25104,0.523,0.234,134,HASH_MAP
35088,0.731,0.428,232,HASH_MAP
144,0.006,0.221,3,TREE_MAP
17328,0.722,0.108,98,HASH_MAP
144,0.375,0.417,1,SINGLY_LINKED_LIST
336,0.028,0.078,5,SEQUENCE
528,0.55,0.263,10,SEQUENCE
336,0.35,0.073,6,SINGLY_LINKED_LIST
1968,0.164,0.002,12,SINGLY_LINKED_LIST
25776,0.537,0.277,264,HASH_MAP
5808,0.968,0.467,96,SINGLY_LINKED_LIST
10896,0.454,0.185,195,HASH_MAP
14448,0.602,0.122,55,HASH_MAP
1632,0.272,0.409,29,SEQUENCE
28464,0.593,0.315,194,HASH_MAP
432,0.18,0.073,5,SEQUENCE
1968,0.41,0.039,10,SINGLY_LINKED_LIST
8112,0.676,0.089,130,HASH_MAP
2736,0.456,0.249,12,SINGLY_LINKED_LIST
34416,0.717,0.465,170,HASH_MAP
288,0.24,0.423,0,SINGLY_LINKED_LIST
10896,0.908,0.438,123,HASH_MAP
4656,0.776,0.229,58,SEQUENCE
21552,0.898,0.044,198,HASH_MAP
41328,0.861,0.395,488,HASH_MAP
1488,0.031,0.106,6,TREE_MAP
1824,0.304,0.004,23,SEQUENCE
36816,0.767,0.018,340,HASH_MAP
6096,0.254,0.238,97,HASH_MAP
4656,0.097,0.381,15,HASH_MAP
11952,0.996,0.314,150,HASH_MAP
8976,0.374,0.121,2,SEQUENCE
15216,0.634,0.287,305,HASH_MAP
13872,0.578,0.092,148,HASH_MAP
19152,0.399,0.161,114,HASH_MAP
2256,0.047,0.03,8,SEQUENCE
22032,0.918,0.373,82,HASH_MAP
384,0.064,0.089,8,SEQUENCE
13584,0.566,0.066,39,HASH_MAP
28464,0.593,0.173,217,HASH_MAP
3408,0.355,0.386,35,SEQUENCE
25584,0.533,0.363,68,HASH_MAP
48,0.004,0.112,1,HASH_MAP
17904,0.373,0.402,173,HASH_MAP
15504,0.646,0.066,276,HASH_MAP
4848,0.404,0.049,22,HASH_MAP
7056,0.147,0.002,119,SEQUENCE
2928,0.244,0.463,44,HASH_MAP
432,0.009,0.125,7,HASH_MAP
20592,0.858,0.165,251,HASH_MAP
18672,0.778,0.466,333,HASH_MAP
21264,0.886,0.416,376,HASH_MAP
912,0.019,0.357,11,SEQUENCE
6096,0.254,0.406,108,HASH_MAP
19152,0.399,0.466,332,HASH_MAP
25584,0.533,0.067,296,HASH_MAP
7536,0.314,0.3,123,SEQUENCE
34992,0.729,0.219,143,HASH_MAP
5712,0.952,0.01,38,HASH_MAP
5808,0.605,0.11,57,TREE_MAP
18096,0.377,0.319,60,HASH_MAP
19152,0.399,0.122,51,HASH_MAP
6384,0.133,0.428,52,HASH_MAP
13584,0.283,0.435,84,HASH_MAP
336,0.14,0.102,4,SINGLY_LINKED_LIST
1104,0.46,0.439,13,SEQUENCE
1392,0.29,0.061,26,SINGLY_LINKED_LIST
11952,0.996,0.239,225,SINGLY_LINKED_LIST
9072,0.756,0.423,17,SINGLY_LINKED_LIST
2592,0.432,0.099,40,HASH_MAP
1392,0.58,0.376,5,SINGLY_LINKED_LIST
13488,0.562,0.344,49,HASH_MAP
6864,0.572,0.292,89,SEQUENCE
3024,0.63,0.166,15,SINGLY_LINKED_LIST
10704,0.892,0.277,59,HASH_MAP
1824,0.304,0.029,16,TREE_MAP
9456,0.985,0.355,164,SINGLY_LINKED_LIST
18864,0.393,0.142,294,HASH_MAP
23088,0.481,0.299,385,HASH_MAP
2304,0.384,0.061,4,SEQUENCE
6288,0.524,0.238,118,HASH_MAP
33552,0.699,0.019,560,HASH_MAP
2544,0.106,0.142,48,HASH_MAP
4752,0.495,0.109,34,HASH_MAP
19728,0.822,0.122,188,HASH_MAP
19152,0.399,0.033,282,HASH_MAP
1584,0.033,0.368,2,TREE_MAP
6096,0.508,0.462,35,HASH_MAP
4272,0.356,0.218,42,HASH_MAP
18768,0.782,0.227,112,HASH_MAP
288,0.048,0.358,1,SEQUENCE
3504,0.73,0.38,30,SEQUENCE
7344,0.306,0.24,45,HASH_MAP
30192,0.629,0.446,416,HASH_MAP
40464,0.843,0.164,421,HASH_MAP
2976,0.496,0.205,12,HASH_MAP
8304,0.692,0.322,13,SINGLY_LINKED_LIST
30288,0.631,0.026,510,HASH_MAP
1488,0.31,0.145,25,HASH_MAP
34704,0.723,0.469,304,HASH_MAP
1872,0.039,0.045,36,HASH_MAP
12144,0.506,0.036,234,HASH_MAP
46512,0.969,0.036,27,SINGLY_LINKED_LIST
48,0.001,0.026,1,HASH_MAP
4464,0.465,0.184,63,SEQUENCE
4752,0.099,0.323,92,HASH_MAP
336,0.7,0.111,2,SINGLY_LINKED_LIST
4752,0.099,0.209,20,SEQUENCE
6576,0.137,0.247,72,HASH_MAP
48,0.01,0.162,0,SINGLY_LINKED_LIST
14448,0.602,0.079,81,HASH_MAP
17232,0.359,0.476,351,HASH_MAP
43728,0.911,0.061,516,HASH_MAP
36624,0.763,0.163,338,HASH_MAP
288,0.048,0.427,1,SEQUENCE
45648,0.951,0.252,144,HASH_MAP
18576,0.774,0.038,93,HASH_MAP
17328,0.722,0.082,117,HASH_MAP
288,0.24,0.011,0,SINGLY_LINKED_LIST
4944,0.103,0.418,31,HASH_MAP
11088,0.462,0.001,76,HASH_MAP
5712,0.119,0.395,79,HASH_MAP
21648,0.902,0.158,348,HASH_MAP
36816,0.767,0.423,353,HASH_MAP
2256,0.188,0.004,1,HASH_MAP
2064,0.043,0.167,26,HASH_MAP
2016,0.336,0.332,25,SINGLY_LINKED_LIST
240,0.625,0.216,0,SINGLY_LINKED_LIST
1008,0.084,0.123,10,SEQUENCE
26928,0.561,0.136,416,HASH_MAP
3984,0.664,0.284,72,SEQUENCE
48,0.001,0.315,0,SINGLY_LINKED_LIST
5328,0.111,0.219,23,SEQUENCE
37008,0.771,0.165,614,HASH_MAP
2256,0.94,0.034,47,SEQUENCE
4464,0.186,0.133,75,HASH_MAP
6768,0.141,0.37,28,HASH_MAP
8112,0.169,0.081,55,HASH_MAP
12144,0.253,0.149,144,HASH_MAP
5904,0.123,0.296,35,HASH_MAP
25296,0.527,0.011,518,HASH_MAP
3216,0.536,0.401,38,SEQUENCE
1392,0.145,0.473,21,HASH_MAP
1008,0.42,0.236,5,SINGLY_LINKED_LIST
22416,0.467,0.028,357,HASH_MAP
46704,0.973,0.117,530,HASH_MAP
11664,0.972,0.102,213,HASH_MAP
24528,0.511,0.288,379,HASH_MAP
10608,0.884,0.105,94,HASH_MAP
3792,0.158,0.139,10,SEQUENCE
4272,0.178,0.369,30,HASH_MAP
11472,0.239,0.018,218,HASH_MAP
16368,0.341,0.326,161,HASH_MAP
96,0.4,0.027,1,SINGLY_LINKED_LIST
2832,0.118,0.175,18,HASH_MAP
4752,0.396,0.288,39,HASH_MAP
1296,0.054,0.355,19,HASH_MAP
32016,0.667,0.128,230,HASH_MAP
19248,0.401,0.477,367,HASH_MAP
4368,0.182,0.163,72,HASH_MAP
8976,0.374,0.129,69,SEQUENCE
14256,0.297,0.4,239,HASH_MAP
41424,0.863,0.08,80,HASH_MAP
43248,0.901,0.242,840,HASH_MAP
3984,0.415,0.379,59,HASH_MAP
27408,0.571,0.371,190,HASH_MAP
10512,0.219,0.05,71,HASH_MAP
15408,0.321,0.218,252,HASH_MAP
42672,0.889,0.445,636,HASH_MAP
1488,0.031,0.271,12,TREE_MAP
23184,0.966,0.246,420,HASH_MAP
2928,0.305,0.344,12,SINGLY_LINKED_LIST
1968,0.82,0.459,4,SEQUENCE
22704,0.473,0.005,42,HASH_MAP
7728,0.322,0.169,19,SEQUENCE
336,0.035,0.417,1,HASH_MAP
20592,0.429,0.14,178,HASH_MAP
20304,0.423,0.09,353,HASH_MAP
35088,0.731,0.284,54,HASH_MAP
24912,0.519,0.456,331,HASH_MAP
30288,0.631,0.187,493,HASH_MAP
3504,0.146,0.283,46,HASH_MAP
528,0.275,0.077,7,SINGLY_LINKED_LIST
35376,0.737,0.266,715,HASH_MAP
27696,0.577,0.377,14,HASH_MAP
13776,0.287,0.409,208,HASH_MAP
2448,0.102,0.014,35,HASH_MAP
1008,0.525,0.056,19,SINGLY_LINKED_LIST
3552,0.592,0.211,58,TREE_MAP
5904,0.123,0.342,21,HASH_MAP
37104,0.773,0.475,77,HASH_MAP
1968,0.082,0.177,16,HASH_MAP
3744,0.624,0.365,74,SEQUENCE
5424,0.904,0.34,38,HASH_MAP
1104,0.115,0.276,10,SEQUENCE
16752,0.698,0.39,12,HASH_MAP
3408,0.142,0.246,35,HASH_MAP
41424,0.863,0.429,654,HASH_MAP
48,0.04,0.019,1,SEQUENCE
19056,0.397,0.128,294,HASH_MAP
5904,0.123,0.335,121,HASH_MAP
3504,0.073,0.047,69,HASH_MAP
3504,0.365,0.153,14,SEQUENCE
8112,0.169,0.121,17,HASH_MAP
1872,0.312,0.117,12,SEQUENCE
4656,0.97,0.282,45,SEQUENCE
8784,0.366,0.222,5,HASH_MAP
672,0.112,0.048,5,HASH_MAP
10896,0.454,0.075,218,HASH_MAP
3456,0.576,0.345,12,TREE_MAP
9168,0.382,0.211,80,HASH_MAP
1296,0.054,0.056,16,HASH_MAP
6576,0.685,0.293,16,HASH_MAP
10896,0.908,0.168,64,HASH_MAP
3024,0.126,0.172,27,TREE_MAP
17616,0.734,0.226,23,HASH_MAP
7152,0.298,0.213,13,HASH_MAP
33456,0.697,0.244,369,HASH_MAP
